Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Collapsible row - heading 1 (product.metafields.custom.collapsible_row_heading_1),Collapsible row - heading 2 (product.metafields.custom.collapsible_row_heading_2),Collapsible row - heading 3 (product.metafields.custom.collapsible_row_heading_3),Contains Variations' metafields (product.metafields.custom.contains_variations_metafields),Review #1 Author Name (product.metafields.custom.review_1_author_name),Review #1 Text (product.metafields.custom.review_1_text),Review #2 Author Name (product.metafields.custom.review_2_author_name),Review #2 Text (product.metafields.custom.review_2_text),Review #3 Author Name (product.metafields.custom.review_3_author_name),Review #3 Text (product.metafields.custom.review_3_text),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Animal type (product.metafields.shopify.animal-type),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Pet control accessory features (product.metafields.shopify.pet-control-accessory-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,Royal Flapping Bird™ — Interactive Cat Toy,"<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr""><strong>NEW DESCRIPTION:</strong></p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🐦 <strong>Your cat's new obsession.</strong></p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">The Royal Flapping Bird™ triggers your cat's natural hunting instincts the moment they touch it — realistic flapping wings, lifelike chirping sounds, and unpredictable movement that keeps them pouncing, chasing and playing for hours.</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr""><strong>Built for cats who get bored easily. Perfect for owners who want an entertained, active, happy pet.</strong></p>
<hr class=""border-border-200 border-t-0.5 my-3 mx-1.5"">
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr""><strong>Why Cats Can't Resist It 🐾</strong></p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🐦 <strong>Realistic Wing Flapping</strong> — Moves like real prey, triggering your cat's instinct to hunt, pounce and chase</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🔊 <strong>Lifelike Chirping Sounds</strong> — Built-in bird sounds that activate your cat even from across the room</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">⚡ <strong>Touch Activated</strong> — No buttons, no setup. One paw tap and it comes alive</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🔋 <strong>USB Rechargeable</strong> — Charge once, play for hours. No battery replacements ever</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">😴 <strong>Auto Sleep Mode</strong> — Powers down when not in use to save battery</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🧸 <strong>Soft &amp; Safe</strong> — Ultra-soft plush exterior, safe for biting, clawing and kicking</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🌿 <strong>Catnip Included</strong> — Built-in catnip pouch for extra excitement</p>
<hr class=""border-border-200 border-t-0.5 my-3 mx-1.5"">
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr""><strong>What's In The Box</strong><br>📦 1x Royal Flapping Bird™ Toy<br>🔌 1x USB Charging Cable<br>🌿 Catnip included</p>
<hr class=""border-border-200 border-t-0.5 my-3 mx-1.5"">
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr""><strong>Perfect for:</strong> Indoor cats, bored cats, high-energy kittens, multi-cat households</p>
<p class=""font-claude-response-body break-words whitespace-normal"" dir=""ltr"">🎯 <em>Give your cat the thrill of the hunt — without the mess.</em></p>",NONE,Animals & Pet Supplies > Pet Supplies > Cat Supplies > Cat Toys > Stuffed Toys & Plushies,"","Cat Supplies, Home & Garden, Pet Products",true,Color,Sparrow,,,,,,,,be192fc2-a452-4895-b4f4-1eec4a319a56,126.0,shopify,deny,manual,39.99,0.00,true,true,,,,,744110928228,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/Screenshot_2026-07-27_at_5.46.53_pm.png?v=1785138530,1,"A small plush bird toy with brown and white feathers, a yellow eye ring, and a dark beak, shown against a plain white background.",false,,,,,,,,,,,,,101,,,,,,,kg,,17.11,active
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/Screenshot_2026-07-27_at_5.48.14_pm.png?v=1785138539,2,"",,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/Screenshot_2026-07-27_at_5.47.53_pm.png?v=1785138537,3,"",,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/Sfac75b7551e64d68a4cb8d046ae3821aF.webp?v=1767934933,4,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S1f12e5480f23465fb42c7013e211d947E.webp?v=1767934934,5,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S835562be7d2c4ef183401ad796c2d0186.webp?v=1767934934,6,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S2092513784ba491786fe05ca63dd85baZ.webp?v=1767934934,7,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S68f39797eb2642ac808d3f49607c3ac6f.webp?v=1767934934,8,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
hot-simulated-bird-cat-toy-interactive-toys-dog-rechargeable-chirping-flapping-birdno-flying-touch-activated-plush-toy-pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S2da0bee9fdae4c26b9addb110a9b583eN.webp?v=1767934934,9,Hot Cat Interactive Toys Catnip Electric Pat Bird (With Catnip) Dog Cats Touch-Activated Squeaky Plush Toy Pet USB Rechargeable,,,,,,,,,,,,,,,,,,,,,,,,
pets-water-bottle-portable-food-grade-material-dog-cat-travel-pet-water-cup-bottle-with-food-dispenser-puppy-water-bottle,Pets Water Bottle Portable Food Grade Material Dog Cat Travel Pet Water Cup Bottle with Food Dispenser Puppy Water Bottle,"<p><img src=""https://ae01.alicdn.com/kf/S9a13d225f34943d09e1323f3414703ceE.jpg""><img src=""https://ae01.alicdn.com/kf/S27d1a75744d84007b3c8de4f11dbdbd2S.jpg""><img src=""https://ae01.alicdn.com/kf/S7456ec998c0a4632ab08a70f620ea31au.jpg""><img src=""https://ae01.alicdn.com/kf/S210e97f523224d3aa464ca1d16486b79P.jpg""><img src=""https://ae01.alicdn.com/kf/S28a6bd102ddc45e3b973910e3e6eccafn.jpg""><img src=""https://ae01.alicdn.com/kf/Sa79083f36d5f47199b7597e2d5620f7ax.jpg""><img src=""https://ae01.alicdn.com/kf/Saea71c1058824ef1b499b1168045a4d6t.jpg""><img src=""https://ae01.alicdn.com/kf/S2bf0388b6224478ab8997f7ceb187278x.jpg""><img src=""https://ae01.alicdn.com/kf/S03b9706a252f4f39a1f8812856e3fe36h.jpg""><img src=""https://ae01.alicdn.com/kf/Sc092ce2dde194122b2cab204104124beK.jpg""><img src=""https://ae01.alicdn.com/kf/Sba355984a0ea4e36b8b7e32ac23d4c8fY.jpg""><img src=""https://ae01.alicdn.com/kf/Sbde8d43300474d41bd3cf60811b75bfa1.jpg""><br></p>",Pets Royalty,,"","Dog Supplies, Home & Garden, Pet Products",true,Color,Pink,,Size,350Ml,,,,,f326ea74-7b11-437d-a54d-2c729ce1fac7,260.0,shopify,deny,manual,29.99,0.00,true,true,,,,,705353336027,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S57bfe3f12ed94b34900d27ced7dc719cU.webp?v=1765941139,1,Pets Water Bottle Portable Food Grade Material Dog Cat Travel Pet Water Cup Bottle with Food Dispenser Puppy Water Bottle,false,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/7147/4819/files/S3e62153a0359458e85ca8792786f892fS.webp?v=1765941140,kg,,8.40,active
